TERM,STUDENT_ID,COURSE,CAMPUS,GRADE
2021FL,zpomxyc,ENGL-1301,SE,B
2021FL,npfrrgi,ENGL-1301,NE,F
2021FL,fzapltz,ENGL-1301,SO,B
2021FL,xvvdykp,ENGL-1301,NW,CR
2021FL,zkgjyqz,ENGL-1301,SO,D
2021FL,binhtap,ENGL-1301,TR,D
2021FL,eraplpp,ENGL-1301,CN,F
2021FL,jlwenvc,ENGL-1301,CN,A
2021FL,xzhkkcp,ENGL-1301,TR,D
2021FL,ibymfas,ENGL-1301,NE,W
2021FL,ywvpfmd,ENGL-1301,SE,D
2021FL,wrktqnl,ENGL-1301,SE,W
2021FL,auoxdxf,ENGL-1301,SE,D
2021FL,ybrenjb,ENGL-1301,NE,W
2021FL,yuaefjd,ENGL-1301,TR,B
2021FL,xfqhgty,ENGL-1301,TR,D
2021FL,nnnwwzs,ENGL-1301,SE,C
2021FL,gjttepu,ENGL-1301,TR,D
2021FL,vjjutfx,ENGL-1301,NE,C
2021FL,axmskyf,ENGL-1301,NE,B
2021FL,dcupvwv,ENGL-1301,SO,B
2021FL,whhzikq,ENGL-1301,SO,B
2021FL,mvhuyuu,ENGL-1301,CN,A
2021FL,dhfvuif,ENGL-1301,CN,B
2021FL,bkljard,ENGL-1301,SO,A
2021FL,thkegcc,ENGL-1301,SO,D
2021FL,khaefwc,ENGL-1301,TR,D
2021FL,njvmfmg,ENGL-1301,SE,A
2021FL,rnhlpvp,ENGL-1301,NE,A
2021FL,ppkjbqx,ENGL-1301,NE,F
2021FL,zxariea,ENGL-1301,SE,F
2021FL,anaoruw,ENGL-1301,SO,CR
2021FL,mszywwj,ENGL-1301,SO,B
2021FL,fkfndln,ENGL-1301,SE,W
2021FL,hbnxjvd,ENGL-1301,TR,D
2021FL,vovjvvf,ENGL-1301,SO,B
2021FL,byqrqxl,ENGL-1301,CN,CR
2021FL,wjajsyu,ENGL-1301,SO,F
2021FL,ynbfwci,ENGL-1301,NE,F
2021FL,rkhdvte,ENGL-1301,SO,A
2021FL,khwqosd,ENGL-1301,SO,F
2021FL,iawcxvl,ENGL-1301,TR,C
2021FL,zcmzhhv,ENGL-1301,TR,C
2021FL,eaamvad,ENGL-1301,CN,D
2021FL,zpjbqft,ENGL-1301,SE,CR
2021FL,xxrzdkn,ENGL-1301,NE,F
2021FL,bymauuv,ENGL-1301,SE,F
2021FL,snumyfe,ENGL-1301,NE,D
2021FL,gzbiwzk,ENGL-1301,NE,F
2021FL,zmkduzs,ENGL-1301,NE,CR
2021FL,vfixnel,ENGL-1301,NW,W
2021FL,ormppxx,ENGL-1301,SE,F
2021FL,ufuamvm,ENGL-1301,CN,CR
2021FL,mxjhmgh,ENGL-1301,SO,D
2021FL,wigaiqk,ENGL-1301,CN,CR
2021FL,lzonsst,ENGL-1301,SE,B
2021FL,ndiexnv,ENGL-1301,CN,W
2021FL,awjuxia,ENGL-1301,NE,D
2021FL,pzieplz,ENGL-1301,SE,A
2021FL,wtfdwwh,ENGL-1301,TR,C
2021FL,rhbujet,ENGL-1301,CN,D
2021FL,imjfals,ENGL-1301,CN,B
2021FL,iitvzmg,ENGL-1301,SE,D
2021FL,nspoget,ENGL-1301,SO,B
2021FL,rhhznye,ENGL-1301,NE,D
2021FL,uijyzpc,ENGL-1301,SO,CR
2021FL,nzpcrsq,ENGL-1301,NE,C
2021FL,gvnizsp,ENGL-1301,NE,C
2021FL,ibnrxqv,ENGL-1301,CN,W
2021FL,zqhoimw,ENGL-1301,SO,D
2021FL,udhtixn,ENGL-1301,CN,A
2021FL,uircsyv,ENGL-1301,NE,CR
2021FL,hjnesqx,ENGL-1301,TR,CR
2021FL,dqfvhyu,ENGL-1301,SO,C
2021FL,spfmkmy,ENGL-1301,NW,D
2021FL,cestmfi,ENGL-1301,NE,A
2021FL,ocyowoy,ENGL-1301,CN,F
2021FL,zblkpgy,ENGL-1301,TR,B
2021FL,ntxsalr,ENGL-1301,CN,CR
2021FL,aseydle,ENGL-1301,TR,D
2021FL,lifmupp,ENGL-1301,SO,D
2021FL,vahjjsm,ENGL-1301,NW,B
2021FL,rqfncxg,ENGL-1301,NW,D
2021FL,urszdmt,ENGL-1301,SO,A
2021FL,pqyguzw,ENGL-1301,TR,CR
2021FL,isoaeap,ENGL-1301,SO,A
2021FL,sykkodo,ENGL-1301,NW,C
2021FL,rqurzwd,ENGL-1301,SE,W
2021FL,lyhoqlp,ENGL-1301,NE,CR
2021FL,ugnzaxa,ENGL-1301,TR,D
2021FL,vzrfzzy,ENGL-1301,CN,CR
2021FL,syslviy,ENGL-1301,NE,CR
2021FL,sqnmtdk,ENGL-1301,NW,C
2021FL,pmceaec,ENGL-1301,TR,CR
2021FL,bzraynt,ENGL-1301,SO,C
2021FL,zknugjw,ENGL-1301,SE,A
2021FL,ktgxlnt,ENGL-1301,SO,C
2021FL,odlyteh,ENGL-1301,TR,C
2021FL,fgpwwar,ENGL-1301,NE,CR
2021FL,rntexem,ENGL-1301,NE,F
2021FL,ppueltt,ENGL-1301,NE,F
2021FL,tufbrqq,ENGL-1301,NW,D
2021FL,afrsenq,ENGL-1301,NE,CR
2021FL,yypsbtw,ENGL-1301,NE,B
2021FL,rouylff,ENGL-1301,TR,W
2021FL,jjuvtpx,ENGL-1301,TR,CR
2021FL,cmsndtt,ENGL-1301,TR,C
2021FL,dwvsltv,ENGL-1301,CN,B
2021FL,xatvxee,ENGL-1301,TR,CR
2021FL,jmsxfzc,ENGL-1301,TR,B
2021FL,xmkomxr,ENGL-1301,TR,C
2021FL,qfzqbnj,ENGL-1301,SE,CR
2021FL,niyrbvw,ENGL-1301,CN,CR
2021FL,nxljide,ENGL-1301,NW,CR
2021FL,tvxplri,ENGL-1301,NW,W
2021FL,jdcayjl,ENGL-1301,CN,CR
2021FL,fhmpirq,ENGL-1301,TR,D
2021FL,mcdvkgf,ENGL-1301,TR,C
2021FL,wlgvdal,ENGL-1301,SE,C
2021FL,irkhrza,ENGL-1301,NE,W
2021FL,srbixru,ENGL-1301,TR,C
2021FL,btqryou,ENGL-1301,SE,F
2021FL,enhhxmm,ENGL-1301,SO,A
2021FL,pocctum,ENGL-1301,NE,W
2021FL,wlbqrle,ENGL-1301,CN,A
2021FL,nzkwqxq,ENGL-1301,TR,CR
2021FL,bdmgcyc,ENGL-1301,NE,F
2021FL,xduocbp,ENGL-1301,CN,D
2021FL,rzgmvth,ENGL-1301,NE,C
2021FL,ucxrcbj,ENGL-1301,TR,F
2021FL,ptnalzt,ENGL-1301,TR,W
2021FL,fuujypp,ENGL-1301,SO,A
2021FL,yjlrwef,ENGL-1301,TR,A
2021FL,hxotgxa,ENGL-1301,TR,CR
2021FL,rwipsyd,ENGL-1301,CN,F
2021FL,ykwqtsf,ENGL-1301,TR,B
2021FL,sjfcpyi,ENGL-1301,NW,B
2021FL,accimsv,ENGL-1301,SO,D
2021FL,jfmmfsu,ENGL-1301,SE,B
2021FL,omkyvlb,ENGL-1301,NW,CR
2021FL,wiupgjc,ENGL-1301,CN,W
2021FL,veikezg,ENGL-1301,CN,C
2021FL,cyvrmfj,ENGL-1301,SO,A
2021FL,vbhlzwe,ENGL-1301,SO,W
2021FL,mkdwgjk,ENGL-1301,NW,D
2021FL,cierrbi,ENGL-1301,TR,W
2021FL,ojlhaww,ENGL-1301,SE,W
2021FL,vugytsw,ENGL-1301,NE,B
2021FL,wpelkmd,ENGL-1301,TR,W
2021FL,rkjaixq,ENGL-1301,TR,B
2021FL,imglttd,ENGL-1301,SE,B
2021FL,moocmzh,ENGL-1301,SE,B
2021FL,kunxtra,ENGL-1301,CN,W
2021FL,loyvniq,ENGL-1301,CN,CR
2021FL,aiflwbp,ENGL-1301,SE,A
2021FL,scawcwj,ENGL-1301,CN,B
2021FL,tmgvuzo,ENGL-1301,CN,B
2021FL,fpyuoxd,ENGL-1301,SE,CR
2021FL,bcndqzt,ENGL-1301,SE,F
2021FL,igxvypw,ENGL-1301,TR,CR
2021FL,cuzmrti,ENGL-1301,CN,W
2021FL,jagcsbi,ENGL-1301,CN,D
2021FL,igbzdex,ENGL-1301,SO,F
2021FL,ahrnxqa,ENGL-1301,SO,A
2021FL,lybcfmd,ENGL-1301,SO,A
2021FL,znmudkr,ENGL-1301,SE,W
2021FL,epvnfmr,ENGL-1301,CN,C
2021FL,bquqrhy,ENGL-1301,NW,D
2021FL,rwisrhc,ENGL-1301,SE,F
2021FL,tljwisk,ENGL-1301,NW,W
2021FL,wlngrdb,ENGL-1301,NW,W
2021FL,lyjzasl,ENGL-1301,SE,B
2021FL,pezlyhk,ENGL-1301,SO,D
2021FL,efgfrpd,ENGL-1301,NW,C
2021FL,vbwxfar,ENGL-1301,CN,F
2021FL,itfjrfa,ENGL-1301,TR,F
2021FL,ecuuqji,ENGL-1301,TR,F
2021FL,uadusui,ENGL-1301,CN,C
2021FL,wjmwsac,ENGL-1301,SO,CR
2021FL,vsfxpiv,ENGL-1301,SO,A
2021FL,ufxrnyk,ENGL-1301,CN,F
2021FL,rnqjfeu,ENGL-1301,SO,A
2021FL,wqhyaop,ENGL-1301,TR,B
2021FL,lzvfmzi,ENGL-1301,NE,W
2021FL,dlaenlx,ENGL-1301,SE,C
2021FL,spbqhtt,ENGL-1301,SO,CR
2021FL,mrdpuax,ENGL-1301,NE,W
2021FL,uiycvlb,ENGL-1301,TR,CR
2021FL,nvulihc,ENGL-1301,SE,W
2021FL,ifiatyg,ENGL-1301,SO,B
2021FL,duiqpxg,ENGL-1301,SO,W
2021FL,qwxiszu,ENGL-1301,NW,D
2021FL,qctsjfx,ENGL-1301,CN,B
2021FL,faxgzwz,ENGL-1301,NE,W
2021FL,hoydldq,ENGL-1301,NW,W
2021FL,magevox,ENGL-1301,SO,D
2021FL,xixfheo,ENGL-1301,NW,A
2021FL,ugolsbl,ENGL-1301,SE,F
2021FL,wdcmdmd,ENGL-1301,NW,CR
2021FL,lttwkjn,ENGL-1301,CN,F
2021FL,drzhthg,ENGL-1301,NE,CR
2021FL,nduawqu,ENGL-1301,TR,B
2021FL,cwuzttd,ENGL-1301,TR,CR
2021FL,hzwimrw,ENGL-1301,NW,B
2021FL,biezbkv,ENGL-1301,SE,CR
2021FL,krtvyik,ENGL-1301,NW,W
2021FL,zncfdwg,ENGL-1301,CN,A
2021FL,hgovvni,ENGL-1301,SE,B
2021FL,hpguqms,ENGL-1301,CN,D
2021FL,qbwyizv,ENGL-1301,NE,F
2021FL,icomeqb,ENGL-1301,NW,W
2021FL,ycegbxn,ENGL-1301,NE,D
2021FL,hlyukzw,ENGL-1301,CN,D
2021FL,bswzgxy,ENGL-1301,CN,D
2021FL,iiveafn,ENGL-1301,SE,B
2021FL,optmobn,ENGL-1301,TR,B
2021FL,lcavikz,ENGL-1301,TR,B
2021FL,ghrlqiq,ENGL-1301,SE,W
2021FL,vbboikp,ENGL-1301,SE,B
2021FL,dhxcuuc,ENGL-1301,SE,D
2021FL,snpfsdz,ENGL-1301,NE,A
2021FL,dqigqad,ENGL-1301,SO,CR
2021FL,cqcyohy,ENGL-1301,SO,A
2021FL,gjgurcy,ENGL-1301,SO,W
2021FL,tksgdcw,ENGL-1301,SO,B
2021FL,brceoyw,ENGL-1301,SE,C
2021FL,anuzqbh,ENGL-1301,NW,W
2021FL,kdwgkxy,ENGL-1301,SE,C
2021FL,hndtwtv,ENGL-1301,SE,C
2021FL,kagxlbo,ENGL-1301,SE,F
2021FL,orlvvil,ENGL-1301,SO,B
2021FL,scvoxwu,ENGL-1301,NE,W
2021FL,ozycuob,ENGL-1301,TR,W
2021FL,dswheoi,ENGL-1301,NE,CR
2021FL,mvkziqg,ENGL-1301,SO,W
2021FL,vouombv,ENGL-1301,SE,B
2021FL,fanswfk,ENGL-1301,SO,C
2021FL,phsifwm,ENGL-1301,NW,D
2021FL,tmwyygx,ENGL-1301,TR,C
2021FL,ofheklj,ENGL-1301,CN,W
2021FL,bmsdpld,ENGL-1301,NW,B
